task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
2	b0/4b23ca	28851	prepare_reference:make_mmi (1)	COMPLETED	0	2025-08-18 19:12:18.711	632ms	5ms	92.3%	0	0	66.9 KB	129.6 KB
5	50/d675ea	28869	getParams	COMPLETED	0	2025-08-18 19:12:18.721	751ms	2ms	240.0%	0	0	63.5 KB	2.2 KB
1	1a/15a2a7	29448	prepare_reference:faidx (1)	COMPLETED	0	2025-08-18 19:12:19.350	822ms	5ms	133.3%	0	0	74.3 KB	338 B
3	c2/480ec7	28892	getVersions	COMPLETED	0	2025-08-18 19:12:18.728	1.6s	801ms	101.1%	26.9 MB	5.4 GB	124.1 KB	284 B
4	8d/7bb176	29458	prepare_reference:cram_cache (1)	COMPLETED	0	2025-08-18 19:12:19.356	1s	118ms	93.0%	9.6 MB	13.6 MB	564.5 KB	1.2 KB
6	06/e6162c	29488	wf_dorado:dorado (1)	COMPLETED	0	2025-08-18 19:12:19.363	1m 3s	1m 2s	191.6%	2.3 GB	56.1 GB	341.3 MB	27.5 MB
7	2f/4b4123	32951	wf_dorado:align_and_qsFilter (1)	COMPLETED	0	2025-08-18 19:13:22.010	951ms	526ms	230.0%	2.6 MB	3.8 MB	120.5 MB	117.4 MB
10	42/0ec739	33243	wf_dorado:merge_fail_calls	COMPLETED	0	2025-08-18 19:13:22.987	714ms	28ms	100.0%	10.6 MB	235.8 MB	264.2 KB	302.6 KB
9	52/23f91e	33225	wf_dorado:merge_pass_calls	COMPLETED	0	2025-08-18 19:13:22.983	865ms	190ms	175.2%	16.8 MB	22.1 MB	3.9 MB	6.9 MB
16	0a/e2397b	33917	output_stream (6)	COMPLETED	0	2025-08-18 19:13:23.882	857ms	2ms	150.0%	0	0	58.8 KB	211 B
13	9f/732fda	33823	output_stream (3)	COMPLETED	0	2025-08-18 19:13:23.859	992ms	2ms	171.4%	0	0	58.8 KB	211 B
14	b4/838713	33857	output_stream (4)	COMPLETED	0	2025-08-18 19:13:23.870	1.2s	2ms	150.0%	0	0	58.8 KB	211 B
12	75/3bb931	33845	output_stream (2)	COMPLETED	0	2025-08-18 19:13:23.866	1.3s	2ms	200.0%	0	0	58.8 KB	211 B
11	27/ea2557	33830	output_stream (1)	COMPLETED	0	2025-08-18 19:13:23.862	1.4s	3ms	133.3%	0	0	58.8 KB	211 B
17	35/c0a849	33952	configure_igv (1)	COMPLETED	0	2025-08-18 19:13:23.890	1.5s	121ms	94.7%	11.2 MB	15.6 MB	1.3 MB	985.4 KB
8	86/f3c415	33218	bamstats (1)	COMPLETED	0	2025-08-18 19:13:22.980	2.5s	1.5s	155.6%	53.7 MB	1.7 GB	23.8 MB	17.6 MB
15	7b/a2c04e	33880	output_stream (5)	COMPLETED	0	2025-08-18 19:13:23.875	1.7s	2ms	133.3%	0	0	58.8 KB	211 B
18	cb/89053e	35222	output_stream (7)	COMPLETED	0	2025-08-18 19:13:25.379	663ms	1ms	171.4%	0	0	58.8 KB	211 B
19	ad/78f510	35228	output_stream (8)	COMPLETED	0	2025-08-18 19:13:25.383	771ms	2ms	171.4%	0	0	58.8 KB	211 B
20	b6/d81449	35291	progressive_stats (1)	COMPLETED	0	2025-08-18 19:13:25.501	741ms	74ms	105.5%	10.6 MB	15.2 MB	939.4 KB	642.9 KB
21	d3/23ddd2	35909	makeReport (1)	COMPLETED	0	2025-08-18 19:13:26.260	8.3s	7.8s	110.1%	418.7 MB	2.2 GB	58.4 MB	31.5 MB
22	4f/db4e41	36625	output_last	COMPLETED	0	2025-08-18 19:13:34.599	460ms	2ms	171.4%	0	0	58.8 KB	211 B
